#     x1       x2        x3        x4         x5        x6       x7         x8       x9        x10        y
    0.5377   -0.8637    0.8404    0.5201    0.1832   -0.7342    0.0799    0.8810    0.2696   -0.0628    1.5499
    1.8339    0.0774   -0.8880   -0.0200   -1.0298   -0.0308   -0.9485    0.3232    0.4943   -2.0220    1.2101
   -2.2588   -1.2141    0.1001   -0.0348    0.9492    0.2323    0.4115   -0.7841   -1.4831   -0.9821   -2.4706
    0.8622   -1.1135   -0.5445   -0.7982    0.3071    0.4264    0.6770   -1.8054   -1.0203    0.6125   -0.7267
    0.3188   -0.0068    0.3035    1.0187    0.1352   -0.3728    0.8577    1.8586   -0.4470   -0.0549    0.8487
   -1.3077    1.5326   -0.6003   -0.1332    0.5152   -0.2365   -0.6912   -0.6045    0.1097   -1.1187   -0.0470
   -0.4336   -0.7697    0.4900   -0.7145    0.2614    2.0237    0.4494    0.1034    1.1287   -0.6264   -0.7110
    0.3426    0.3714    0.7394    1.3514   -0.9415   -2.2584    0.1006    0.5632   -0.2900    0.2495    0.8755
    3.5784   -0.2256    1.7119   -0.2248   -0.1623    2.2294    0.8261    0.1136    1.2616   -0.9930    3.5363
    2.7694    1.1174   -0.1941   -0.5890   -0.1461    0.3376    0.5362   -0.9047    0.4754    0.9750    2.7331
   -1.3499   -1.0891   -2.1384   -0.2938   -0.5320    1.0001    0.8979   -0.4677    1.1741   -0.6407   -4.4359
    3.0349    0.0326   -0.8396   -0.8479    1.6821   -1.6642   -0.1319   -0.1249    0.1269    1.8089    2.5843
    0.7254    0.5525    1.3546   -1.1201   -0.8757   -0.5900   -0.1472    1.4790   -0.6568   -1.0799    1.1514
   -0.0631    1.1006   -1.0722    2.5260   -0.4838   -0.2781    1.0078   -0.8608   -1.4814    0.1992    0.9038
    0.7147    1.5442    0.9610    1.6555   -0.7120    0.4227   -2.1237    0.7847    0.1555   -1.5210    2.3660
   -0.2050    0.0859    0.1240    0.3075   -1.1742   -1.6702   -0.5046    0.3086    0.8186   -0.7236    0.2162
   -0.1241   -1.4916    1.4367   -1.2571   -0.1922    0.4716   -1.2706   -0.2339   -0.2926   -0.5933   -0.7770
    1.4897   -0.7423   -1.9609   -0.8655   -0.2741   -1.2128   -0.3826   -1.0570   -0.5408    0.4013   -0.7265
    1.4090   -1.0616   -0.1977   -0.1765    1.5301    0.0662    0.6487   -0.2841   -0.3086    0.9421    1.1871
    1.4172    2.3505   -1.2078    0.7914   -0.2490    0.6524    0.8257   -0.0867   -1.0966    0.3005    2.4026
    0.6715   -0.6156    2.9080   -1.3320   -1.0642    0.3271   -1.0149   -1.4694   -0.4930   -0.3731    1.3855
   -1.2075    0.7481    0.8252   -2.3299    1.6035    1.0826   -0.4711    0.1922   -0.1807    0.8155   -0.5509
    0.7172   -0.1924    1.3790   -1.4491    1.2347    1.0061    0.1370   -0.8223    0.0458    0.7989    1.2326
    1.6302    0.8886   -1.0582    0.3335   -0.2296   -0.6509   -0.2919   -0.0942   -0.0638    0.1202    1.4291
    0.4889   -0.7648   -0.4686    0.3914   -1.5062    0.2571    0.3018    0.3362    0.6113    0.5712   -0.3854
    1.0347   -1.4023   -0.2725    0.4517   -0.4446   -0.9444    0.3999   -0.9047    0.1093    0.4128   -0.4163
    0.7269   -1.4224    1.0984   -0.1303   -0.1559   -1.3218   -0.9300   -0.2883    1.8140   -0.9870   -0.2835
   -0.3034    0.4882   -0.2779    0.1837    0.2761    0.9248   -0.1768    0.3501    0.3120    0.7596   -0.5526
    0.2939   -0.1774    0.7015   -0.4762   -0.2612    0.0000   -2.1321   -1.8359    1.8045   -0.6572    0.8491
   -0.7873   -0.1961   -2.0518    0.8620    0.4434   -0.0549    1.1454    1.0360   -0.7231   -0.6039   -2.1647
    0.8884    1.4193   -0.3538   -1.3617    0.3919    0.9111   -0.6291    2.4245    0.5265    0.1769    1.2588
   -1.1471    0.2916   -0.8236    0.4550   -1.2507    0.5946   -1.2038    0.9594   -0.2603   -0.3075   -2.0804
   -1.0689    0.1978   -1.5771   -0.8487   -0.9480    0.3502   -0.2539   -0.3158    0.6001   -0.1318   -2.5345
   -0.8095    1.5877    0.5080   -0.3349   -0.7411    1.2503   -1.4286    0.4286    0.5939    0.5954   -1.1327
   -2.9443   -0.8045    0.2820    0.5528   -0.5078    0.9298   -0.0209   -1.0360   -2.1860    1.0468   -3.8426
    1.4384    0.6966    0.0335    1.0391   -0.3206    0.2398   -0.5607    1.8779   -1.3270   -0.1980    1.6541
    0.3252    0.8351   -1.3337   -1.1176    0.0125   -0.6904    2.1778    0.9407   -1.4410    0.3277   -0.7587
   -0.7549   -0.2437    1.1275    1.2607   -3.0292   -0.6516    1.1385    0.7873    0.4018   -0.2383   -0.4816
    1.3703    0.2157    0.3502    0.6601   -0.4570    1.1921   -2.4969   -0.8759    1.4702    0.2296    1.7629
   -1.7115   -1.1658   -0.2991   -0.0679    1.2424   -1.6118    0.4413    0.3199   -0.3268    0.4400   -1.6301
   -0.1022   -1.1480    0.0229   -0.1952   -1.0667   -0.0245   -1.3981   -0.5583    0.8123   -0.6169   -1.5842
   -0.2414    0.1049   -0.2620   -0.2176    0.9337   -1.9488   -0.2551   -0.3114    0.5455    0.2748   -0.3401
    0.3192    0.7223   -1.7502   -0.3031    0.3503    1.0205    0.1644   -0.5700   -1.0516    0.6011   -0.9890
    0.3129    2.5855   -0.2857    0.0230   -0.0290    0.8617    0.7477   -1.0257    0.3975    0.0923    1.9746
   -0.8649   -0.6669   -0.8314    0.0513    0.1825    0.0012   -0.2730   -0.9087   -0.7519    1.7298   -2.5092
   -0.0301    0.1873   -0.9792    0.8261   -1.5651   -0.0708    1.5763   -0.2099    1.5163   -0.6086   -0.4351
   -0.1649   -0.0825   -1.1564    1.5270   -0.0845   -2.4863   -0.4809   -1.6989   -0.0326   -0.7371    0.0957
    0.6277   -1.9330   -0.5336    0.4669    1.6039    0.5812    0.3275    0.6076    1.6360   -1.7499   -0.5292
    1.0933   -0.4390   -2.0026   -0.2097    0.0983   -2.1924    0.6647   -0.1178   -0.4251    0.9105   -0.8740
    1.1093   -1.7947    0.9642    0.6252    0.0414   -2.3193    0.0852    0.6992    0.5894    0.8671   -0.3049
